product_id,product_name,category
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Supplies
TEC-MA-10000984,Okidata MB760 Printer,Machines
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Chairs
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Tables
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Copiers
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Chairs
FUR-CH-10004287,SAFCO Arco Folding Chair,Chairs
TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Machines
TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Accessories
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Storage
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Phones
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Tables
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Binders
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs
TEC-PH-10001530,Plantronics Voyager Pro Legend,Phones
TEC-PH-10001795,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,Phones
FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Tables
TEC-CO-10001766,Canon PC940 Copier,Copiers
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Tables
FUR-TA-10003569,Bretford CR8500 Series Meeting Room Furniture,Tables
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Machines
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Supplies
OFF-ST-10003716,Tennsco Double-Tier Lockers,Storage
TEC-PH-10000730,Samsung Galaxy S4 Active,Phones
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Machines
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances
TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,Machines
OFF-ST-10004459,Tennsco Single-Tier Lockers,Storage
FUR-CH-10000513,High-Back Leather Manager's Chair,Chairs
TEC-PH-10002496,Cisco SPA301,Phones
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Binders
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Chairs
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Tables
TEC-PH-10000984,Panasonic KX-TG9471B,Phones
FUR-TA-10002645,Hon Rectangular Conference Tables,Tables
FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Tables
FUR-TA-10001768,Hon Racetrack Conference Tables,Tables
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Machines
TEC-PH-10004165,Mitel MiVoice 5330e IP Phone,Phones
TEC-PH-10000895,Polycom VVX 310 VoIP phone,Phones
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Bookcases
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Chairs
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases
TEC-PH-10002584,Samsung Galaxy S4,Phones
TEC-CO-10002313,Canon PC1080F Personal Copier,Copiers
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Copiers
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Storage
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Copiers
TEC-PH-10001363,Apple iPhone 5S,Phones
